,Ask,BaseVolume,Bid,High,Last,Low,OpenBuy,OpenSell,time
34026,5.306e-05,125.84912288,5.305e-05,5.778e-05,5.305e-05,5.245e-05,236.0,2382.0,2018-03-04T04:30:00Z
34027,5.305e-05,125.71532874,5.29e-05,5.778e-05,5.306e-05,5.245e-05,241.0,2382.0,2018-03-04T04:40:00Z
34028,5.306e-05,125.58868595,5.278e-05,5.778e-05,5.306e-05,5.245e-05,234.0,2381.0,2018-03-04T04:50:00Z
34029,5.305e-05,125.00896929,5.276e-05,5.778e-05,5.305e-05,5.245e-05,235.0,2394.0,2018-03-04T05:00:00Z
34030,5.276e-05,123.16370922,5.275e-05,5.778e-05,5.276e-05,5.245e-05,235.0,2399.0,2018-03-04T05:10:00Z
34031,5.274e-05,123.23797154,5.27e-05,5.778e-05,5.274e-05,5.245e-05,234.0,2400.0,2018-03-04T05:20:00Z
34032,5.329e-05,123.31929402,5.258e-05,5.778e-05,5.259e-05,5.245e-05,234.0,2397.0,2018-03-04T05:30:00Z
34033,5.343e-05,122.39265146,5.266e-05,5.778e-05,5.272e-05,5.245e-05,239.0,2377.0,2018-03-04T05:40:00Z
34034,5.337e-05,119.51890507,5.281e-05,5.778e-05,5.281e-05,5.245e-05,238.0,2380.0,2018-03-04T05:50:00Z
34035,5.337e-05,119.10715502,5.265e-05,5.778e-05,5.265e-05,5.245e-05,234.0,2382.0,2018-03-04T06:00:00Z
34036,5.341e-05,119.11101872,5.257e-05,5.778e-05,5.325e-05,5.245e-05,235.0,2382.0,2018-03-04T06:10:00Z
34037,5.317e-05,118.7044531,5.252e-05,5.778e-05,5.252e-05,5.245e-05,230.0,2384.0,2018-03-04T06:20:00Z
34038,5.338e-05,118.89618744,5.25e-05,5.757e-05,5.25e-05,5.215e-05,226.0,2376.0,2018-03-04T06:30:00Z
34039,5.334e-05,118.39553655,5.266e-05,5.757e-05,5.26e-05,5.215e-05,227.0,2378.0,2018-03-04T06:40:00Z
34040,5.314e-05,114.09016264,5.276e-05,5.757e-05,5.276e-05,5.215e-05,234.0,2384.0,2018-03-04T06:50:00Z
34041,5.315e-05,113.7820368,5.273e-05,5.757e-05,5.273e-05,5.215e-05,233.0,2377.0,2018-03-04T07:00:00Z
34042,5.311e-05,110.45422914,5.28e-05,5.757e-05,5.273e-05,5.215e-05,232.0,2380.0,2018-03-04T07:10:00Z
